Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,mean_Clusters
control,2,2,2,9,4,2,6,6,5,2,4,2,4,3,7,3,3,2,2,5,4,3,3,2,4,0,1.93,1.13,0,28,1,6662,Noun,3.64
conventional,2,8,8,6,2,4,9,5,7,2,6,8,2,9,2,2,9,4,2,4,9,8,2,3,9,0,1.5,0.75,0,30,1,155,Adjective,5.28
convinced,3,5,2,2,2,3,2,9,9,2,2,5,2,5,7,2,3,2,3,2,6,4,9,9,2,0,2.07,1.33,0,27,1,1061,Verb,4.08
cooperation,5,6,3,3,4,5,5,4,6,7,8,2,4,9,6,6,5,5,4,7,3,4,5,4,2,0,2.03,1.13,0,28,1,407,Noun,4.88
coordinate,2,3,3,9,5,2,2,2,7,2,2,4,2,3,2,2,2,6,2,6,5,3,2,5,7,0,2.36,1.29,1,27,0.961538462,130,Verb,3.6
copy,6,2,3,5,4,7,2,2,5,4,2,7,6,3,6,6,2,6,2,6,6,2,6,4,3,0,3.9,1.35,0,29,1,2666,Noun,4.28
core,2,2,2,2,3,2,2,3,10,2,2,4,2,2,4,2,2,2,6,2,2,8,3,2,2,0,3.96,1.28,0,29,1,501,Noun,3
correct,3,8,5,2,7,2,2,9,9,7,3,6,2,2,6,8,6,8,7,2,3,9,5,8,5,0,2.59,1.34,0,30,1,2292,Adjective,5.36
count,2,4,3,4,2,2,5,2,2,4,4,2,4,3,7,3,2,2,3,2,2,2,4,3,3,0,3,1.41,0,28,1,4588,Verb,3.04
counter,2,2,2,2,3,8,6,4,2,2,8,5,2,6,2,2,3,3,3,2,5,3,3,3,2,0,4.17,1.07,0,29,1,709,Noun,3.4
country,10,5,6,5,4,4,5,2,6,6,2,8,2,5,3,6,2,3,2,5,5,2,3,3,4,0,4.17,1.18,0,29,1,8254,Noun,4.32
couple,3,2,2,2,3,3,2,2,2,3,2,2,6,2,3,6,3,2,3,5,2,2,2,2,10,0,3.93,1.21,0,29,1,11394,Noun,3.04
course,2,2,2,3,7,2,4,2,4,2,4,2,4,3,8,2,2,3,2,5,4,3,2,4,3,0,3.82,1.12,0,30,1,24848,Adverb,3.24
court,7,6,7,4,5,6,4,2,4,2,7,2,4,2,4,3,3,3,3,2,6,5,2,4,4,0,4.31,1.19,0,29,1,5137,Noun,4.04
cover,2,2,5,2,7,8,2,2,3,3,3,6,6,8,10,6,2,2,6,2,6,2,2,3,10,0,4.23,1.1,0,28,1,4808,Verb,4.4
creation,7,4,6,3,6,2,3,2,7,9,9,3,6,3,2,2,4,2,3,4,6,7,3,2,5,0,2.15,1.06,0,28,1,310,Noun,4.4
credit,2,2,8,3,3,6,3,10,4,3,4,2,3,3,7,2,6,6,4,2,3,5,5,6,2,0,2.71,1.49,1,28,0.965517241,2337,Noun,4.16
criminal,3,5,6,8,4,4,5,8,6,10,5,3,3,3,3,3,2,8,4,3,2,2,5,2,3,0,3.48,1.48,1,31,0.964285714,1758,Adjective,4.4
critical,4,7,7,7,6,3,5,5,2,3,4,3,4,3,4,8,4,5,5,7,4,6,3,4,5,0,2.14,1.43,0,30,1,625,Adjective,4.72
cross,6,2,3,2,4,10,2,2,8,4,3,2,3,3,4,3,5,2,5,3,4,2,6,8,3,0,4.44,1.19,0,28,1,2807,Verb,3.96
crucial,2,10,2,2,7,5,6,2,2,7,2,4,2,5,2,2,2,4,3,3,2,6,6,4,3,0,2.08,1.35,0,30,1,234,Adjective,3.8
cultural,3,8,4,3,8,2,4,7,4,6,6,3,3,6,5,5,5,10,6,6,8,3,5,4,2,0,2.1,0.82,0,30,1,202,Adjective,5.04
curb,2,5,5,3,2,3,2,4,5,2,3,5,2,3,2,3,3,4,2,3,3,4,4,5,3,0,4.68,0.63,0,29,1,209,Noun,3.28
cut,8,5,10,2,8,3,5,3,7,2,2,2,6,2,10,2,8,9,9,9,6,3,2,5,2,0,4.55,0.69,0,28,1,11718,Verb,5.2
cycle,5,5,8,5,4,3,3,4,5,8,2,10,6,3,4,3,4,8,4,3,5,2,3,4,2,0,3.64,1.58,0,29,1,300,Noun,4.52
danger,2,2,2,2,3,2,3,5,4,2,9,4,4,8,2,2,10,2,2,4,6,5,2,2,2,0,2.68,1.22,0,28,1,2227,Noun,3.64
date,2,2,9,3,6,7,7,6,2,5,2,2,7,5,5,3,5,3,4,3,3,3,4,3,3,0,3.9,1.21,0,29,1,7218,Noun,4.16
day,5,3,4,9,3,3,4,5,2,4,2,5,4,8,4,8,7,3,6,9,4,7,2,2,5,0,3.92,1.38,0,29,1,40893,Noun,4.72
dead,5,4,5,3,4,6,6,3,3,2,2,3,4,6,2,3,5,3,2,5,2,7,4,5,2,0,4.07,1.27,0,32,1,22898,Adjective,3.84
deal,9,4,2,2,9,2,3,4,3,5,2,2,3,2,2,5,6,3,2,4,2,2,3,8,2,0,3.1,1.18,0,28,1,13330,Noun,3.64
death,5,4,2,2,4,3,5,2,2,3,2,2,4,3,2,2,2,2,7,4,3,2,2,7,2,0,3.73,1.48,0,29,1,11051,Noun,3.12
debate,4,2,3,2,4,10,2,4,2,6,4,2,8,2,2,2,2,6,9,4,2,2,2,3,2,0,3.18,1.36,0,28,1,474,Noun,3.64
decide,9,2,2,3,3,3,3,5,7,9,9,5,8,2,2,10,5,4,2,2,9,2,10,4,10,0,1.92,1.25,0,27,1,2571,Verb,5.2
declaration,2,3,5,3,2,3,2,2,5,3,8,4,2,2,5,3,2,2,2,2,2,3,3,3,2,0,2.52,1.5,0,28,1,180,Noun,3
declare,5,5,5,3,2,5,3,2,4,5,2,2,2,4,3,5,3,3,5,5,2,2,4,2,5,0,2,1.28,0,27,1,386,Verb,3.52
decline,2,3,3,2,2,3,3,2,2,2,2,2,6,9,2,2,2,9,8,2,5,2,3,2,3,0,2.76,1.3,0,27,1,152,Verb,3.32
deep,2,6,3,5,6,9,8,2,2,2,6,2,2,4,3,2,2,3,2,2,2,3,2,5,8,0,3.38,1.35,0,31,1,3896,Adjective,3.72
defend,10,3,5,2,2,5,5,10,9,2,5,5,10,6,2,2,2,3,6,2,2,6,2,4,2,0,2.31,1.34,0,27,1,959,Verb,4.48
defense,10,2,3,4,3,4,4,2,2,2,7,3,2,4,6,7,4,2,2,2,2,3,2,3,4,0,2.45,1.43,0,28,1,1665,Noun,3.56
degree,2,2,8,2,2,4,2,2,2,2,3,2,2,2,2,2,7,9,4,4,2,2,2,3,2,0,3,1.66,0,28,1,759,Noun,3.04
delay,5,8,2,2,6,2,10,4,2,2,9,2,2,7,5,2,8,2,5,10,8,9,2,4,7,0,2.79,1.54,0,28,1,562,Noun,5
delegate,2,2,2,4,2,3,2,5,2,3,2,3,2,2,4,2,2,2,3,2,4,2,2,6,6,0,3.07,1.47,1,28,0.964285714,73,Noun,2.84
deliver,10,2,2,2,2,3,2,3,2,7,3,2,2,4,2,9,4,2,2,3,8,4,6,3,4,0,3.12,1.42,0,28,1,1446,Verb,3.72
demand,6,6,4,4,4,2,3,4,5,2,2,2,6,4,2,4,2,2,4,6,3,2,5,2,4,0,2.2,1.27,0,27,1,873,Verb,3.6
demonstration,2,2,6,7,2,7,2,2,7,2,3,2,5,8,6,7,4,2,2,2,2,3,5,2,2,0,3.75,1.17,0,29,1,366,Noun,3.76
department,8,2,4,6,2,4,3,4,2,2,4,7,9,6,2,3,3,2,3,8,2,2,4,3,5,0,3.3,1.44,0,28,1,3256,Noun,4
design,2,2,6,5,3,4,2,3,6,2,2,2,3,2,2,9,2,10,3,8,2,3,2,3,4,0,3.27,1.59,0,28,1,826,Noun,3.68
desire,8,2,2,2,2,6,7,2,4,2,4,2,3,4,2,3,2,4,2,2,3,3,3,3,8,0,1.7,1.26,0,28,1,1034,Noun,3.4
